"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","view_history","phase","trial_name","trial_num","key_selected","card_selected","reward","question_order","type_of_trial","block_type","block","index_right","index_left","prob_selected","prob_unselected"
"html-keyboard-response","477","782885","0.0-5.0-2.0-1.1-2.81","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/catch_trial/31.jpg'><img class=surprise src='images/surprise.jpg'>","null","","exp","choice","31","0","50","","","2","2","","51","50","",""
"html-keyboard-response","478","783645","0.0-5.0-2.0-1.1-3.81","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/catch_trial/31.jpg'><img class=surprise src='images/surprise.jpg'>","null","","exp","reward","31","0","50","1","","2","2","1","51","50","0.5","0.5"
"html-keyboard-response","479","784557","0.0-5.0-2.0-1.1-0.82","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","480","785204","0.0-5.0-2.0-1.1-1.82","5c71b17c891e3200012477a2","","","","","","646","<img class='card_left' src='images/old/9.jpg'><img class='card_right' src='images/old/10.jpg'><div class=""fixation"">+</div>","k","","exp","cards","32","","","","","0","2","","","","",""
"html-keyboard-response","481","785715","0.0-5.0-2.0-1.1-2.82","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/10.jpg'><div class=""fixation"">+</div>","null","","exp","choice","32","1","1","","","0","2","","1","0","",""
"html-keyboard-response","482","786478","0.0-5.0-2.0-1.1-3.82","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/10.jpg'><img class=reward src='images/won1-no-back1.png'>","null","","exp","reward","32","1","1","1","","0","2","1","1","0","0.5","0.1"
"html-keyboard-response","483","787392","0.0-5.0-2.0-1.1-0.83","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","484","788022","0.0-5.0-2.0-1.1-1.83","5c71b17c891e3200012477a2","","","","","","628","<img class='card_left' src='images/old/11.jpg'><img class='card_right' src='images/old/12.jpg'><div class=""fixation"">+</div>","k","","exp","cards","33","","","","","1","2","","","","",""
"html-keyboard-response","485","788534","0.0-5.0-2.0-1.1-2.83","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/12.jpg'><div class=""fixation"">+</div>","null","","exp","choice","33","1","3","","","1","2","","3","2","",""
"html-keyboard-response","486","789295","0.0-5.0-2.0-1.1-3.83","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/12.jpg'><img class=reward src='images/zero_coins.png'>","null","","exp","reward","33","1","3","0","","1","2","1","3","2","0.5","0.1"
"html-keyboard-response","487","790209","0.0-5.0-2.0-1.1-0.84","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","488","790677","0.0-5.0-2.0-1.1-1.84","5c71b17c891e3200012477a2","","","","","","468","<img class='card_left' src='images/old/12.jpg'><img class='card_right' src='images/old/11.jpg'><div class=""fixation"">+</div>","s","","exp","cards","34","","","","","1","2","","","","",""
"html-keyboard-response","489","791183","0.0-5.0-2.0-1.1-2.84","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/old/12.jpg'><div class=""fixation"">+</div>","null","","exp","choice","34","0","3","","","1","2","","2","3","",""
"html-keyboard-response","490","791948","0.0-5.0-2.0-1.1-3.84","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/old/12.jpg'><img class=reward src='images/zero_coins.png'>","null","","exp","reward","34","0","3","0","","1","2","1","2","3","0.5","0.1"
"html-keyboard-response","491","792862","0.0-5.0-2.0-1.1-0.85","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","492","793392","0.0-5.0-2.0-1.1-1.85","5c71b17c891e3200012477a2","","","","","","529","<img class='card_left' src='images/catch_trial/51.jpg'><img class=surprise src='images/surprise.jpg'><img class='card_right' src='images/catch_trial/64.jpg'>","k","","exp","cards","35","","","","","2","2","","","","",""
"html-keyboard-response","493","793893","0.0-5.0-2.0-1.1-2.85","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/catch_trial/64.jpg'><img class=surprise src='images/surprise.jpg'>","null","","exp","choice","35","1","53","","","2","2","","53","52","",""
"html-keyboard-response","494","794651","0.0-5.0-2.0-1.1-3.85","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/catch_trial/64.jpg'><img class=surprise src='images/surprise.jpg'>","null","","exp","reward","35","1","53","0","","2","2","1","53","52","0.5","0.5"
"html-keyboard-response","495","795564","0.0-5.0-2.0-1.1-0.86","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","496","796333","0.0-5.0-2.0-1.1-1.86","5c71b17c891e3200012477a2","","","","","","769","<img class='card_left' src='images/old/12.jpg'><img class='card_right' src='images/old/11.jpg'><div class=""fixation"">+</div>","s","","exp","cards","36","","","","","1","2","","","","",""
"html-keyboard-response","497","796847","0.0-5.0-2.0-1.1-2.86","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/old/12.jpg'><div class=""fixation"">+</div>","null","","exp","choice","36","0","3","","","1","2","","2","3","",""
"html-keyboard-response","498","797607","0.0-5.0-2.0-1.1-3.86","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/old/12.jpg'><img class=reward src='images/zero_coins.png'>","null","","exp","reward","36","0","3","0","","1","2","1","2","3","0.5","0.1"
"html-keyboard-response","499","798517","0.0-5.0-2.0-1.1-0.87","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","500","799114","0.0-5.0-2.0-1.1-1.87","5c71b17c891e3200012477a2","","","","","","596","<img class='card_left' src='images/catch_trial/46.jpg'><img class=surprise src='images/surprise.jpg'><img class='card_right' src='images/catch_trial/19.jpg'>","s","","exp","cards","37","","","","","2","2","","","","",""
"html-keyboard-response","501","799628","0.0-5.0-2.0-1.1-2.87","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/catch_trial/46.jpg'><img class=surprise src='images/surprise.jpg'>","null","","exp","choice","37","0","54","","","2","2","","55","54","",""
"html-keyboard-response","502","800380","0.0-5.0-2.0-1.1-3.87","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/catch_trial/46.jpg'><img class=surprise src='images/surprise.jpg'>","null","","exp","reward","37","0","54","0","","2","2","1","55","54","0.5","0.5"
"html-keyboard-response","503","801295","0.0-5.0-2.0-1.1-0.88","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","504","801880","0.0-5.0-2.0-1.1-1.88","5c71b17c891e3200012477a2","","","","","","584","<img class='card_left' src='images/old/9.jpg'><img class='card_right' src='images/old/10.jpg'><div class=""fixation"">+</div>","k","","exp","cards","38","","","","","0","2","","","","",""
"html-keyboard-response","505","802393","0.0-5.0-2.0-1.1-2.88","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/10.jpg'><div class=""fixation"">+</div>","null","","exp","choice","38","1","1","","","0","2","","1","0","",""
"html-keyboard-response","506","803150","0.0-5.0-2.0-1.1-3.88","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/10.jpg'><img class=reward src='images/zero_coins.png'>","null","","exp","reward","38","1","1","0","","0","2","1","1","0","0.5","0.1"
"html-keyboard-response","507","804062","0.0-5.0-2.0-1.1-0.89","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","508","804715","0.0-5.0-2.0-1.1-1.89","5c71b17c891e3200012477a2","","","","","","651","<img class='card_left' src='images/old/11.jpg'><img class='card_right' src='images/old/12.jpg'><div class=""fixation"">+</div>","k","","exp","cards","39","","","","","1","2","","","","",""
"html-keyboard-response","509","805222","0.0-5.0-2.0-1.1-2.89","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/12.jpg'><div class=""fixation"">+</div>","null","","exp","choice","39","1","3","","","1","2","","3","2","",""
